literature|الأَدَب|1
United Nations|الأُمَم المُتَّحِدة|1
I study|أَدرُس|1
I live, reside|أَسكُن|1
she works|تَعمَل|1
he works|يَعمَل|1
in|في|1
Egyptian|مِصريّ/ة|1
area, region|مِنطَقة|1
the same...|...نَفس ال|1
father|والِد|1
my father|والِدي|1
mother|والِدة|1
house|بَيْت|1
beautiful|جَميل|1
room|غُرْفة|1
feminine|مُؤَنَّث|1
masculine|مُذَكَّر|1
student|طالِب|1
daughter, girl|بِنْت|1
university|جامِعة|1
street|شارِع|1
office|مَكتَب|1
car|سَيّارة|1
plane|طائِرة|1
building|بِنايَة|1
test, examination|اِمْتِحان|1
important, powerful; big; old|كَبير|1
small|صَغير|1
long, tall|طَويل|1
short|قَصير|1
sick|مَريض|1
tired|تَعْبان|1
wide, spacious|واسِع|1
new|جَديد|1
strange, foreign|غَريب|1
close|قَريب|1
far|بَعيد|1
hard, difficult|صَعْب|1
nice, kind, pleasant|لَطيف|1
upset; annoyed, angry|زَعلان|1
delicious (food); good-hearted (people)|طَيِّب|1
hungry|جَوْعان|1
good|جَيِّد|1
professor|أُسْتاذ|1
book|كِتاب|1
door|باب|1
morning|صَباح|1
light|نور|1
bread|خُبْز|1
coffee|قَهْوة|1
family|أُسْرة|1
What? (in questions without verbs)|ما؟|1
What? (in questions using verb)|ماذا؟|1
Which?|أيّ؟|1
Who?|مَن؟|1
Where?|أينَ؟|1
How?|كَيفَ؟|1
with|مَعَ|1
from|مِن|1
congratulations!|مَبروك|1
man|رَجُل|1
family|أُسْرة ج. أُسَر|2
also|أَيضاً|2
translation|(التَرجَمة (مِن ... إلى|2
translator|مُتَرجِم / ة|2
where (not in questions)|حَيثُ|2
specializing/specialist in|مُتَخَصِّص/ة في|2
maternal aunt|خالة|2
always|دائِماً|2
her name|اِسمُها|2
work|(الشُغل (=العَمَل|2
busy (with)|(مَشغول / ة (بِ|2
work|(العَمَل (=الشُغل|2
really!, truly|فِعلاً|2
admission(s)|القُبول|2
belonging to (preposition)|لِ|2
I have|لي|2
language|لُغة ج. لُغات|2
evening|المَساء|2
daytime|النَهار|2
only; lonely|وَحيد/ة|2
I|أَنا|2
you (male)|أَنتَ|2
you (female)|أَنتِ|2
he/it (male)|هُوَ|2
she/it (female)|هِيَ|2
we|نَحْنُ|2
you (plural)|أَنتُم|2
they|هُم|2
word|كَلِمة ج. كَلِمات|2
singular|(مُفرَد (م|2
plural|جَمع|2
man|رَجُل ج. رِجال|2
student (male)|طالِب ج. طُلّاب|2
son, boy; child|وَلَد ج. أَوْلاد|2
maternal uncle|خال/أَخْوال|2
friend (male), boyfriend|صاحِب ج. أَصْحاب|2
professor (male)|أُسْتاذ ج. أَساتِذة|2
doctor|دُكتور ج. دَكاتِرة|2
Mr., Sr|سَيِّد ج. سادة|2
brother|أخ ج. إِخْوة|2
neighbor|جار ج. جيران|2
Arab, Arabic|عَرَبِيّ/عَرَب|2
daughter, girl|بِنْت ج. بَنات|2
sister|أُخت ج. أَخَوات|2
woman|اِمرَأة ج. نِساء|2
name, noun|اِسم ج. أَسماء|2
work|عَمَل ج. أعمال|2
news|خَبَر ج. أخبار|2
door|باب ج. أبواب|2
book|كِتاب ج. كُتُب|2
city|مَدينة ج. مُدُن|2
room|غُرْفة ج. غُرَف|2
story|قِصّة ج. قِصَص|2
lesson|دَرْس ج. دُروس|2
class, classroom|صَفّ ج. صُفوف|2
class, classroom; season|فَصل ج. فُصول|2
bank|بَنك ج. بُنوك|2
money|فُلوس|2
street|شارِع ج. شَوارِع|2
notebook|دَفتَر ج. دَفاتِر|2
area, region|مِنْطَقة ج. مَناطِق|2
office|مَكْتَب ج. مَكاتِب|2
university|جامِعة ج. جامِعات|2
plane|طائِرة ج. طائِرات|2
car|سَيَّارة ج. سَيّارات|2
state, province|وِلاية ج. وِلايات|2
hour|ساعة ج. ساعات|2
page|صَفحة ج. صَفَحات|2
table|طاوِلة ج. طاولات|2
paper|وَرَقة ج. وَرَقات / أَوْراق|2
building|بِناية ج. بِنايات|2
library|مَكتَبة ج. مَكتَبات|2
sentence|جُملة|2
subject|مُبتَدأ|2
predicate|خَبَر|2
his family|أُسرتُهُ|3
now|الآن|3
son|اِبن ج. أَبناء|3
cousin (male, paternal)|اِبن عَمّ ج. أبناء عمّ|3
army|جَيش ج. جُيوش|3
actually, in reality|في الحَقيقة|3
he teaches|يُدَرِّس|3
letter|رِسالة ج. رَسائِل|3
husband|زَوج ج. أَزواج|3
her husband|زوجُها|3
wife|زَوجة ج. زَوجات|3
picture|صورة ج. صُوَر|3
officer|ضابِط ج. ضُبّاط|3
I know|أَعرِف|3
science|عِلم ج. عُلوم|3
political science|العُلوم السِّياسِيّة|3
paternal uncle|عَمّ ج. أَعمام|3
my (paternal) uncle|عَمّي|3
(extended) family|عائِلة ج. عائِلات|3
relative|قَريب ج. أَقارِب|3
college, school (in a university)|كُلِّية ج. كلّيات|3
my telephone number|رقم تليفوني|3
history|التّاريخ|3
law|الحُقوق|3
religion|الدّين|3
medicine|الطِّبّ|3
anthropology|عِلم الإنْسان|3
sociology|عِلم الاِجْتِماع|3
psychology|عِلم النَفْس|3
engineering|الهَندَسة|3
grandfather/grandmother|جَدّ / ة|3
first|أَوَّل|4
primary, elementary|اِبتِدائيّ / ة|4
I memorize|أَحفَظ|4
school|مَدرَسة ج. مَدارِس|4
I remember|أَتَذَكَّر|4
fourth|رابِع / ة|4
classmate; colleague (male)|زَميل ج. زُمَلاء|4
classmate; colleague (female)|زَميلة ج. زَميلات|4
traveling|(السَّفَر (إلى|4
she travels|(تُسافِر (إلى|4
friend (female)|صَديقة ج. صَديقات|4
friend (male)|صَديق ج. أَصدِقاء|4
childhood|الطُّفولة|4
individual (person)|فَرد ج. أَفراد|4
before|قَبْلَ + اسم|4
all; every|كُلّ + اسم في إضافة|4
he was|كانَ|4
I was|كُنتُ|4
verb|فِعل ج. أَفعال|4
present or incomplete tense|مُضارِع|4
he watches|يُشاهِد|4
he writes|يَكتُب|4
he speaks|يَتَكَّلَم|4
he reads|يَقرَأ|4
he listens to|يَستَمِع إلى|4
prophet|نَبيّ|4
Caliph|خَليفة ج. خُلَفاء|4
question|سُؤال ج. أَسْئِلة|4
adjective|صِفة ج. صِفات|5
of...descent|مِن أَصل + صِفة|5
