professor, teacher|أستاذ|أساتذة|noun|occupations|m
too, also|أيضا||adv|common|
on, in, by, with, for|بـ||prep|common|
to learn|تعلم||verb||
university|جامعة|جامعات|noun|education|f
side|جانب||noun||m
wall|جدار|جدران|noun||m
Aleppo|حلب||noun|places|f
mathematics, calculus|رياضيات||noun|subjects|f
of the sun, solar|شمسي||adj||
thing|شيء|أشياء|noun|common|m
class|صف|صفوف|noun|education|m
male student|طالب|طلاب|noun|education|m
female student|طالبة|طالبات|noun|education|f
on|على||prep|common|
room|غرفة|غرف|noun|household|f
you’re welcome/excuse me|عفوا||phrase|common|
of the moon, lunar|قمري||adj||
but (weak version)|لكن||conj|common|
but (strong version)|لكن||conj|common|
if you would; please|لوسمحت||phrase||
not|ليس||particle|common|
store, shop; place, location|محل|محلات|noun|locations|m
with (someone; not thing)|مع||prep|common|
found; existing, present|موجود|موجودون|noun||m
there, there is/are|هناك||pronoun||
and|و||conj||
literature|أدب|آداب|noun|subjects|m
ground, land|أرض|أراض|noun||f
those (pl, dem)|أولائك||pronoun||
house, home|بيت|بيوت|noun|household|m
those (dual, nom)|تانك||pronoun||
trade, business, commerce|تحبارة||noun||f
that (sing, nom)|تلك||pronoun|common|f
those (dual, acc/gen)|تينك||pronoun||
right, law|حق|حقوق|noun||m
that|ذلك||pronoun|common|m
sport|رياضة|رياضات|noun|sports|f
of sports|رياضي||adj|sports|
medicine|طب||noun|medical|m
a number of, several|عدة||noun|common|f
science, discipline|علم|علوم|noun|subjects|m
of science, scientific|علمي||adj|subjects|
college|كلية|كليات|noun|education|f
language|لغة|لغات|noun|subjects|f
of language, linguistic|لغوي||adj|subjects|
laboratory|مختبر|مختبرات|noun|education|m
swimming pool|مسبح|مسابح|noun|locations|f
office|مكتب|مكاتب|noun|locations|m
library; bookstore; bookcase|مكتبة|مكتبات|noun|locations|f
playground, sports field|ملعب|ملاعب|noun|sports|m
these (dual, nom)|هاتان||pronoun||f
these (dual, acc/gen)|هاتين||pronoun||f
these (dual, nom)|هذان||pronoun||m
these (dual, acc/gen)|هذين||pronoun||m
engineering|هندسة||noun|subjects|f
these (pl)|هؤلاء||pronoun||m
a question particle to form yes/no questions|أ||particle||
God|الله||noun|religious|m
a 14th-century Arab historian and sociologist|ابن خلدون||noun|people|
two|اثنان||noun|numbers|m
four|أربعة||noun|numbers|f
