professor, teacher|أسْتاذ|noun|Occupations|m|n
professors, teachers|أساتِذَة|noun|Occupations|m|y
too, also|أيْضاً|adv|Common||n
on, in, by, with, for|بِـ|prep|Common||n
to learn|تَعَلَّمَ|verb|||n
university|جامِعَة|noun|Education|f|n
universities|جامِعات|noun|Education|f|y
side|جانِب|noun||m|n
wall|جَدار|noun||m|n
walls|جُدْران|noun||m|y
Aleppo|حَلَب|noun|Places|f|n
mathematics, calculus|رياضِيّات|noun|Subjects|f|n
of the sun, solar|شّمْسِيّ|adj|||n
thing, object|شَيْء|noun|Common|m|n
things, objects|أشْياء|noun|Common|m|y
class|صَفّ|noun|Education|m|n
classes|صُفوف|noun|Education|m|y
male student|طالِب|noun|Education|m|n
male students|طُلاّب|noun|Education|m|y
female student|طالِبة|noun|Education|f|n
female students|طالِبات|noun|Education|f|y
on|عَلى|prep|Common||n
room|غُرْفَة|noun|Household|f|n
rooms|غُرَف|noun|Household|f|y
you’re welcome/excuse me|عَفْواً|phrase|Common||n
of the moon, lunar|قَمَريّ|adj|||n
but (weak version)|لكِنْ|conj|Common||n
but (strong version)|لكِنَّ|conj|Common||n
if you would; please|لَوسَمَحْت|phrase|||n
not|لَيْسَ|particle|Common||n
store, shop; place, location|مَحَلّ|noun|Locations|m|n
stores, shops; places, locations|مَحَلات|noun|Locations|m|y
with (someone; not thing)|مَعَ|prep|Common||n
found; existing, present|مَوْجود|noun||m|n
found; existing, present (pl)|مَوْجودون|noun||m|y
there, there is/are|هُناكَ|pronoun|||n
and|وَ|conj|||n
literature|أدَب|noun|Subjects|m|n
literature (pl)|آداب|noun|Subjects|m|y
ground, land|أرْض|noun||f|n
grounds, lands|أراضٍ|noun||f|y
those (pl, dem)|أولائِكَ|pronoun|||n
house, home|بَيْت|noun|Household|m|n
houses, homes|بُيوت|noun|Household|m|y
those (dual, nom)|تانِكَ|pronoun|||n
trade, business, commerce|تحِبارة|noun||f|n
that (sing, nom)|تِلكَ|pronoun|Common|f|n
those (dual, acc/gen)|تَيْنِكَ|pronoun|||n
right, law|حَقّ|noun||m|n
rights, laws|حُقوق|noun||m|y
that|ذلِكَ|pronoun|Common|m|n
sport|رِياضَة|noun|Sports|f|n
sports|رِياضات|noun|Sports|f|y
of sports|رياضِيّ|adj|Sports||n
medicine|طِبّ|noun|Medical|m|n
a number of, several|عِدَّةُ|noun|Common|f|n
science, discipline|عِلْم|noun|Subjects|m|n
sciences, disciplines|عَلوم|noun|Subjects|m|y
of science, scientific|عِلميّ|adj|Subjects||n
college|كُلّيَّة|noun|Education|f|n
colleges|كُلّيات|noun|Education|f|y
language|لُغَة|noun|Subjects|f|n
languages|لُغات|noun|Subjects|f|y
of language, linguistic|لُغَويّ|adj|Subjects||n
laboratory|مُخْتبر|noun|Education|m|n
laboratories|مُخْتبرات|noun|Education|m|y
swimming pool|مَسْبَح|noun|Locations|f|n
swimming pools|مَسابِح|noun|Locations|f|y
office|مَكْتَب|noun|Locations|m|n
offices|مَكاتِب|noun|Locations|m|y
library; bookstore; bookcase|مَكْتَبة|noun|Locations|f|n
libraries; bookstores; bookcases|مَكْتَبات|noun|Locations|f|y
playground, sports field|مَلْعَب|noun|Sports|m|n
playgrounds, sports fields|مَلاعِب|noun|Sports|m|y
these (dual, nom)|هاتانِ|pronoun||f|n
these (dual, acc/gen)|هاتَيْنِ|pronoun||f|n
these (dual, nom)|هذانِ|pronoun||m|n
these (dual, acc/gen)|هذَيْنِ|pronoun||m|n
engineering|هَنْدَسَة|noun|Subjects|f|n
these (pl)|هؤُلاءِ|pronoun||m|n
a question particle to form yes/no questions|أَ|particle|||n
God|الله|noun|Religious|m|n
a 14th-century Arab historian and sociologist|ابْنُ خَلْدون|noun|People||n
two|اِثنان|noun|Numbers|m|n
four|أرْبَعة|noun|Numbers|f|n
sorry (m, f)|آسِف، آسِفة|noun|Common||n
or (particle used in questions)|أَمْ|conj|||n
woman|اِمرأة|noun|People|f|n
women|نِساء|noun|People|f|y
now|الآنَ|noun|Common||n
English (language)|اﻹنكليزية|adj|Subjects|f|n
or (used with statements)|أو|conj|Common||n
card|بِطاقة|noun||f|n
cards|بِطاقات|noun||f|y
small town|بَلْدة|noun|Places|f|n
small towns|بَلْدات|noun|Places|f|y
nine|تِسْعة|noun|Numbers|f|n
three|ثَلاثة|noun|Numbers|f|n
eight|ثَمانِية|noun|Numbers|f|n
name of a town in Syria|جَبْلة|noun|Places|f|n
five|خَمْسة|noun|Numbers|f|n
man|رَجُل|noun|People|m|n
men|رِجال|noun|People|m|y
number|رَقْم|noun|Numbers|m|n
numbers|أرْقام|noun|Numbers|m|y
plus|زائِد|noun||m|n
to equal|ساوى (يُساوي) مُساواة|verb|||n
seven|سَبْعة|noun|Numbers|f|n
six|سِتّة|noun|Numbers|f|n
to live, to reside|سَكَنَ (يَسْكُنُ) سَكَن|verb|||n
(student) living, residence, dormitory|سَكَنُ (الطُلاّبِ)|noun|Education|m|n
street|شارع|noun|Directions|m|n
streets|شَوارع|noun|Directions|m|y
to want, will|شاءَ (يَشاءُ) مَشيئة|verb|||n
apartment|شَقّة|noun|Household|f|n
apartments|شُقَق|noun|Household|f|y
thank you|شُكْراً|phrase|Common||n
zero|صِفْر|noun|Numbers|m|n
zero (pl)|أصْفار|noun|Numbers|m|y
Arabic (language)|العَرَبيّة|adj|Subjects|f|n
to know|عَرَفَ (يَعرِفُ) مَعْرِفة|verb|||n
ten|عَشَرة|noun|Numbers|f|n
address|عُنوان|noun|Directions|m|n
addresses|عَناوين|noun|Directions|m|y
French (language)|الفَرَنْسِيَّة|adj|Subjects|f|n
word|كَلِمَة|noun|Common|f|n
words|كَلِمات|noun|Common|f|y
how many/much|كَمْ|particle|Common||n
what (question particle used in front of nouns)|ما|particle|Common||n
what (used with verbs)|ماذا|particle|Common||n
married; married man|مُتَزَوِّج|noun|Family|m|n
married (pl); married men|مُتَزَوِّجون|noun|Family|m|y
meaning|مَعْنى|noun||m|n
meanings|مَعانٍ/المعاني|noun||m|y
